age,balance,day,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome
35,188,5,2,-1,0,self-employed,married,secondary,no,yes,yes,unknown,jun,unknown
43,861,9,1,-1,0,services,married,secondary,no,yes,no,unknown,jun,unknown
30,249,17,1,275,2,services,married,secondary,no,yes,no,cellular,apr,failure
58,413,27,5,-1,0,retired,married,secondary,no,no,no,cellular,aug,unknown
54,204,27,5,-1,0,self-employed,married,unknown,no,no,no,cellular,aug,unknown
27,1492,23,13,-1,0,admin.,single,secondary,no,yes,no,unknown,may,unknown
45,3857,11,2,190,1,management,married,tertiary,no,yes,no,cellular,aug,failure
50,329,19,4,-1,0,technician,married,tertiary,no,no,no,cellular,aug,unknown
49,326,7,2,-1,0,admin.,married,secondary,no,yes,no,unknown,may,unknown
28,1984,4,2,14,1,blue-collar,single,tertiary,no,yes,no,cellular,may,failure
34,256,12,2,267,1,technician,married,secondary,no,yes,no,cellular,aug,failure
33,193,5,2,-1,0,admin.,single,tertiary,no,no,no,unknown,may,unknown
